# nocreadbench arch=blackhole grid=12x10 num_tx=64 repeats=3 mode=stateless sim=0
# every row is one timed burst; cycles_per_tx = cycles / num_tx
# mode is what the KERNEL stamped; probe_word says which tile answered a
# transaction issued with the state pointed elsewhere, so it is stateless
# iff probe_word == sig_src and stateful iff probe_word == sig_witness
experiment,repeat,point,mst_x,mst_y,mst_node_x,mst_node_y,num_src,src0_x,src0_y,hops,num_tx,tx_bytes,dst_stride,src_stride,cycles,cycles_per_tx,outstanding_max,outstanding_end,samples,cmdbuf_avail_rest,cmdbuf_avail_busy,outstanding_rest,outstanding_delta,inflight_max,inflight_rest,trid,cmdbuf_avail_max,cmdbuf_ovfl_rest,cmdbuf_ovfl_end,mode,probe_word,sig_src,sig_witness
dist,1,12,0,0,1,2,1,7,2,6,64,64,0,0,3241,50.641,194,194,64,0x00000000,0x00000000,192,2,3,0,0,0x00000000,0x00000000,0x00000000,stateless,0x5A5A0702,0x5A5A0702,0x5A5A0203
dist,1,13,0,0,1,2,1,10,2,9,64,64,0,0,3241,50.641,194,194,64,0x00000000,0x00000000,192,2,3,0,0,0x00000000,0x00000000,0x00000000,stateless,0x5A5A0A02,0x5A5A0A02,0x5A5A0203
dist,1,14,0,0,1,2,1,11,2,10,64,64,0,0,3241,50.641,194,194,64,0x00000000,0x00000000,192,2,3,0,0,0x00000000,0x00000000,0x00000000,stateless,0x5A5A0B02,0x5A5A0B02,0x5A5A0203
dist,1,15,0,0,1,2,1,12,2,11,64,64,0,0,3241,50.641,194,194,64,0x00000000,0x00000000,192,2,3,0,0,0x00000000,0x00000000,0x00000000,stateless,0x5A5A0C02,0x5A5A0C02,0x5A5A0203
dist,1,16,0,0,1,2,1,13,2,12,64,64,0,0,3240,50.625,194,194,64,0x00000000,0x00000000,192,2,3,0,0,0x00000000,0x00000000,0x00000000,stateless,0x5A5A0D02,0x5A5A0D02,0x5A5A0203
dist,1,17,0,0,1,2,1,14,2,13,64,64,0,0,3240,50.625,194,194,64,0x00000000,0x00000000,192,2,3,0,0,0x00000000,0x00000000,0x00000000,stateless,0x5A5A0E02,0x5A5A0E02,0x5A5A0203
dist,1,18,0,0,1,2,1,1,3,1,64,64,0,0,3192,49.875,194,194,64,0x00000000,0x00000000,192,2,2,0,0,0x00000000,0x00000000,0x00000000,stateless,0x5A5A0103,0x5A5A0103,0x5A5A0203
dist,1,19,0,0,1,2,1,1,4,2,64,64,0,0,3192,49.875,194,194,64,0x00000000,0x00000000,192,2,2,0,0,0x00000000,0x00000000,0x00000000,stateless,0x5A5A0104,0x5A5A0104,0x5A5A0203
dist,1,20,0,0,1,2,1,1,5,3,64,64,0,0,3192,49.875,194,194,64,0x00000000,0x00000000,192,2,2,0,0,0x00000000,0x00000000,0x00000000,stateless,0x5A5A0105,0x5A5A0105,0x5A5A0203
dist,1,21,0,0,1,2,1,1,6,4,64,64,0,0,3193,49.891,194,194,64,0x00000000,0x00000000,192,2,2,0,0,0x00000000,0x00000000,0x00000000,stateless,0x5A5A0106,0x5A5A0106,0x5A5A0203
dist,1,22,0,0,1,2,1,1,7,5,64,64,0,0,3192,49.875,194,194,64,0x00000000,0x00000000,192,2,2,0,0,0x00000000,0x00000000,0x00000000,stateless,0x5A5A0107,0x5A5A0107,0x5A5A0203
dist,1,23,0,0,1,2,1,1,8,6,64,64,0,0,3192,49.875,194,194,64,0x00000000,0x00000000,192,2,2,0,0,0x00000000,0x00000000,0x00000000,stateless,0x5A5A0108,0x5A5A0108,0x5A5A0203
dist,1,24,0,0,1,2,1,1,9,7,64,64,0,0,3192,49.875,194,194,64,0x00000000,0x00000000,192,2,2,0,0,0x00000000,0x00000000,0x00000000,stateless,0x5A5A0109,0x5A5A0109,0x5A5A0203
dist,1,25,0,0,1,2,1,1,10,8,64,64,0,0,3193,49.891,194,194,64,0x00000000,0x00000000,192,2,2,0,0,0x00000000,0x00000000,0x00000000,stateless,0x5A5A010A,0x5A5A010A,0x5A5A0203
dist,1,26,0,0,1,2,1,1,11,9,64,64,0,0,3192,49.875,194,194,64,0x00000000,0x00000000,192,2,2,0,0,0x00000000,0x00000000,0x00000000,stateless,0x5A5A010B,0x5A5A010B,0x5A5A0203
srcfan,1,27,0,0,1,2,1,2,2,1,64,64,0,0,3240,50.625,194,194,64,0x00000000,0x00000000,192,2,3,0,0,0x00000000,0x00000000,0x00000000,stateless,0x5A5A0202,0x5A5A0202,0x5A5A0203
srcfan,1,28,0,0,1,2,2,2,2,1,64,64,0,0,3262,50.969,194,194,64,0x00000000,0x00000000,192,2,3,0,0,0x00000000,0x00000000,0x00000000,stateless,0x5A5A0202,0x5A5A0202,0x5A5A0203
srcfan,1,29,0,0,1,2,4,2,2,1,64,64,0,0,3263,50.984,194,194,64,0x00000000,0x00000000,192,2,3,0,0,0x00000000,0x00000000,0x00000000,stateless,0x5A5A0202,0x5A5A0202,0x5A5A0203
srcfan,1,30,0,0,1,2,8,2,2,1,64,64,0,0,3265,51.016,194,194,64,0x00000000,0x00000000,192,2,3,0,0,0x00000000,0x00000000,0x00000000,stateless,0x5A5A0202,0x5A5A0202,0x5A5A0203
dstspread,1,31,0,0,1,2,1,14,2,13,64,64,0,0,3253,50.828,194,194,64,0x00000000,0x00000000,192,2,3,0,0,0x00000000,0x00000000,0x00000000,stateless,0x5A5A0E02,0x5A5A0E02,0x5A5A0203
dstspread,1,32,0,0,1,2,1,14,2,13,64,64,64,0,3240,50.625,194,194,64,0x00000000,0x00000000,192,2,3,0,0,0x00000000,0x00000000,0x00000000,stateless,0x5A5A0E02,0x5A5A0E02,0x5A5A0203
dstspread,1,33,0,0,1,2,1,14,2,13,64,64,128,0,3241,50.641,194,194,64,0x00000000,0x00000000,192,2,3,0,0,0x00000000,0x00000000,0x00000000,stateless,0x5A5A0E02,0x5A5A0E02,0x5A5A0203
dstspread,1,34,0,0,1,2,1,14,2,13,64,64,512,0,3241,50.641,194,194,64,0x00000000,0x00000000,192,2,3,0,0,0x00000000,0x00000000,0x00000000,stateless,0x5A5A0E02,0x5A5A0E02,0x5A5A0203
srcspread,1,35,0,0,1,2,1,14,2,13,64,64,0,0,3241,50.641,194,194,64,0x00000000,0x00000000,192,2,3,0,0,0x00000000,0x00000000,0x00000000,stateless,0x5A5A0E02,0x5A5A0E02,0x5A5A0203
srcspread,1,36,0,0,1,2,1,14,2,13,64,64,0,64,3240,50.625,194,194,64,0x00000000,0x00000000,192,2,3,0,0,0x00000000,0x00000000,0x00000000,stateless,0x5A5A0E02,0x5A5A0E02,0x5A5A0203
srcspread,1,37,0,0,1,2,1,14,2,13,64,64,0,128,3240,50.625,194,194,64,0x00000000,0x00000000,192,2,3,0,0,0x00000000,0x00000000,0x00000000,stateless,0x5A5A0E02,0x5A5A0E02,0x5A5A0203
srcspread,1,38,0,0,1,2,1,14,2,13,64,64,0,512,3240,50.625,194,194,64,0x00000000,0x00000000,192,2,3,0,0,0x00000000,0x00000000,0x00000000,stateless,0x5A5A0E02,0x5A5A0E02,0x5A5A0203
burst,1,39,0,0,1,2,1,14,2,13,4,64,0,0,420,105.000,194,194,4,0x00000000,0x00000000,192,2,3,0,0,0x00000000,0x00000000,0x00000000,stateless,0x5A5A0E02,0x5A5A0E02,0x5A5A0203
burst,1,40,0,0,1,2,1,14,2,13,16,64,0,0,984,61.500,194,194,16,0x00000000,0x00000000,192,2,3,0,0,0x00000000,0x00000000,0x00000000,stateless,0x5A5A0E02,0x5A5A0E02,0x5A5A0203
burst,1,41,0,0,1,2,1,14,2,13,64,64,0,0,3240,50.625,194,194,64,0x00000000,0x00000000,192,2,3,0,0,0x00000000,0x00000000,0x00000000,stateless,0x5A5A0E02,0x5A5A0E02,0x5A5A0203
burst,1,42,0,0,1,2,1,14,2,13,128,64,0,0,6248,48.812,194,194,128,0x00000000,0x00000000,192,2,3,0,0,0x00000000,0x00000000,0x00000000,stateless,0x5A5A0E02,0x5A5A0E02,0x5A5A0203
size,2,0,0,0,1,2,1,14,2,13,64,64,0,0,3241,50.641,194,194,64,0x00000000,0x00000000,192,2,3,0,0,0x00000000,0x00000000,0x00000000,stateless,0x5A5A0E02,0x5A5A0E02,0x5A5A0203
size,2,1,0,0,1,2,1,14,2,13,64,128,0,0,3240,50.625,194,194,64,0x00000000,0x00000000,192,2,3,0,0,0x00000000,0x00000000,0x00000000,stateless,0x5A5A0E02,0x5A5A0E02,0x5A5A0203
size,2,2,0,0,1,2,1,14,2,13,64,256,0,0,3240,50.625,194,194,64,0x00000000,0x00000000,192,2,3,0,0,0x00000000,0x00000000,0x00000000,stateless,0x5A5A0E02,0x5A5A0E02,0x5A5A0203
size,2,3,0,0,1,2,1,14,2,13,64,512,0,0,3240,50.625,194,194,64,0x00000000,0x00000000,192,2,3,0,0,0x00000000,0x00000000,0x00000000,stateless,0x5A5A0E02,0x5A5A0E02,0x5A5A0203
size,2,4,0,0,1,2,1,14,2,13,64,1024,0,0,3256,50.875,195,195,64,0x00000000,0x00000000,192,3,3,0,0,0x00000000,0x00000000,0x00000000,stateless,0x5A5A0E02,0x5A5A0E02,0x5A5A0203
